Date,Balance
2018/02/20,"127,564"
2018/02/21,"127,564"
2018/02/22,"127,564"
2018/02/23,"127,564"
2018/02/26,"127,564"
2018/02/27,"127,564"
2018/02/28,"127,564"
2018/03/02,"128,037"
2018/03/05,"128,037"
2018/03/06,"128,037"
2018/03/07,"128,037"
2018/03/08,"128,037"
2018/03/09,"128,037"
2018/03/12,"128,509"
2018/03/13,"128,509"
2018/03/14,"130,399"
2018/03/15,"130,399"
2018/03/16,"130,399"
2018/03/19,"131,344"
2018/03/20,"132,761"
2018/03/21,"133,234"
2018/03/22,"133,234"
2018/03/23,"133,234"
2018/03/26,"133,234"
2018/03/27,"132,761"
2018/03/28,"132,761"
2018/03/29,"123,312"
2018/03/30,"123,312"
2018/04/02,"123,312"
2018/04/03,"123,312"
2018/04/04,"123,312"
2018/04/05,"123,312"
2018/04/06,"123,312"
2018/04/09,"123,312"
2018/04/10,"123,312"
2018/04/11,"123,312"
2018/04/12,"123,312"
2018/04/13,"123,312"
2018/04/16,"123,312"
2018/04/17,"123,312"
2018/04/18,"122,840"
2018/04/19,"122,840"
2018/04/20,"122,840"
2018/04/23,"122,840"
2018/04/24,"122,840"
2018/04/25,"122,367"
2018/04/26,"121,895"
2018/04/27,"121,422"
2018/04/30,"121,422"
2018/05/02,"121,422"
2018/05/03,"121,422"
2018/05/04,"121,422"
2018/05/08,"121,422"
2018/05/09,"121,422"
2018/05/10,"121,422"
2018/05/11,"121,895"
2018/05/14,"121,895"
2018/05/15,"121,895"
2018/05/16,"122,367"
2018/05/17,"122,840"
2018/05/18,"122,840"
2018/05/21,"122,840"
2018/05/23,"122,840"
2018/05/24,"122,840"
2018/05/25,"123,312"
2018/05/28,"123,312"
2018/05/29,"123,312"
2018/05/30,"123,312"
2018/05/31,"123,312"
2018/06/01,"123,312"
2018/06/04,"123,312"
2018/06/05,"123,785"
2018/06/07,"123,785"
2018/06/08,"123,785"
2018/06/11,"123,785"
2018/06/12,"123,312"
2018/06/14,"122,367"
2018/06/15,"122,367"
2018/06/18,"122,367"
2018/06/19,"122,367"
2018/06/20,"122,367"
2018/06/21,"121,422"
2018/06/22,"121,422"
2018/06/25,"120,005"
2018/06/26,"120,005"
2018/06/27,"119,532"
2018/06/28,"119,532"
2018/06/29,"118,587"
2018/07/02,"119,532"
2018/07/03,"119,532"
2018/07/04,"119,532"
2018/07/05,"119,532"
2018/07/06,"119,532"
2018/07/09,"119,060"
2018/07/10,"119,060"
2018/07/11,"118,587"
2018/07/12,"119,060"
2018/07/13,"120,950"
2018/07/16,"121,895"
2018/07/17,"122,840"
2018/07/18,"124,257"
2018/07/19,"125,202"
2018/07/20,"125,202"
2018/07/23,"125,202"
2018/07/24,"125,202"
2018/07/25,"125,202"
2018/07/26,"125,202"
2018/07/27,"125,202"
2018/07/30,"125,202"
2018/07/31,"125,674"
2018/08/01,"125,674"
2018/08/02,"125,674"
2018/08/03,"125,674"
2018/08/06,"125,674"
2018/08/07,"125,202"
