Date,bank_stocks
2018-02-26,4.65526
2018-02-27,4.86065
2018-02-28,4.60451
2018-03-01,1.25607
2018-03-02,4.44987
2018-03-03,0.90505
2018-03-04,0.93731
2018-03-05,5.67606
2018-03-06,6.39518
2018-03-07,6.27849
2018-03-08,5.73061
2018-03-09,5.87576
2018-03-10,1.18018
2018-03-11,1.09195
2018-03-12,6.83917
2018-03-13,6.94495
2018-03-14,6.42316
2018-03-15,6.56974
2018-03-16,6.09966
2018-03-17,1.1982
2018-03-18,1.11092
2018-03-19,5.51099
2018-03-20,5.50624
2018-03-21,5.69314
2018-03-22,6.97151
2018-03-23,7.0678
2018-03-24,1.13037
2018-03-25,0.92545
2018-03-26,5.69598
2018-03-27,5.55368
2018-03-28,5.4275
2018-03-29,5.52427
2018-03-30,5.23397
2018-03-31,0.98048
2018-04-01,0.92593
2018-04-02,5.81694
2018-04-03,7.28838
2018-04-04,6.33825
2018-04-05,6.20544
2018-04-06,5.38955
2018-04-07,1.05637
2018-04-08,0.97336
2018-04-09,5.95735
2018-04-10,6.29604
2018-04-11,5.96636
2018-04-12,5.8639
2018-04-13,5.69646
2018-04-14,1.02412
2018-04-15,0.91691
2018-04-16,5.48964
2018-04-17,5.22163
2018-04-18,5.21879
2018-04-19,6.1969
2018-04-20,6.92218
2018-04-21,1.08056
2018-04-22,0.99091
2018-04-23,7.0346
2018-04-24,6.45162
2018-04-25,5.54372
2018-04-26,5.70974
2018-04-27,5.73962
2018-04-28,0.87517
2018-04-29,0.79738
2018-04-30,5.47778
2018-05-01,1.59666
2018-05-02,5.1742
2018-05-03,4.73068
2018-05-04,4.87726
2018-05-05,0.68875
2018-05-06,0.62756
2018-05-07,0.86853
2018-05-08,4.79045
2018-05-09,4.31088
2018-05-10,4.70981
2018-05-11,4.57937
2018-05-12,0.80022
2018-05-13,0.70583
2018-05-14,4.38156
2018-05-15,4.22787
2018-05-16,4.30661
2018-05-17,3.88492
2018-05-18,3.97742
2018-05-19,0.70772
2018-05-20,0.69539
2018-05-21,4.47121
2018-05-22,0.91454
2018-05-23,4.46173
2018-05-24,4.18376
2018-05-25,3.81234
2018-05-26,0.72385
2018-05-27,0.70251
2018-05-28,4.41287
2018-05-29,4.03908
2018-05-30,5.34212
2018-05-31,5.75243
2018-06-01,4.75108
2018-06-02,1.00656
2018-06-03,0.82631
2018-06-04,5.3777
2018-06-05,4.88247
2018-06-06,0.91786
2018-06-07,5.41422
2018-06-08,4.50632
2018-06-09,0.70298
2018-06-10,0.62424
2018-06-11,4.75677
2018-06-12,4.70602
2018-06-13,0.79738
2018-06-14,4.25349
2018-06-15,4.54664
2018-06-16,0.73239
2018-06-17,0.72338
2018-06-18,4.33033
2018-06-19,4.04525
2018-06-20,4.03339
2018-06-21,4.76626
2018-06-22,3.82278
2018-06-23,0.61001
2018-06-24,0.58771
2018-06-25,3.86262
2018-06-26,3.78056
2018-06-27,3.5154
2018-06-28,3.43761
2018-06-29,3.48741
2018-06-30,0.57111
2018-07-01,0.56779
2018-07-02,3.95702
2018-07-03,3.97884
2018-07-04,3.6079
2018-07-05,3.51635
2018-07-06,3.83179
2018-07-07,0.58297
2018-07-08,0.5047
2018-07-09,4.01821
2018-07-10,4.05141
2018-07-11,3.54528
2018-07-12,3.46132
2018-07-13,3.93093
2018-07-14,0.58344
2018-07-15,0.53032
2018-07-16,3.53959
2018-07-17,3.77345
2018-07-18,3.71558
2018-07-19,4.20748
2018-07-20,4.25301
2018-07-21,0.68021
2018-07-22,0.51893
2018-07-23,4.1017
2018-07-24,4.31326
2018-07-25,4.07418
2018-07-26,3.70656
2018-07-27,3.32329
2018-07-28,0.53743
2018-07-29,0.59578
2018-07-30,3.48978
2018-07-31,3.36551
2018-08-01,3.45943
