Date,dividend_stocks
2018-02-26,2.81095
2018-02-27,3.07311
2018-02-28,3.88872
2018-03-01,2.05359
2018-03-02,2.86921
2018-03-03,1.71861
2018-03-04,2.09729
2018-03-05,2.38858
2018-03-06,3.05854
2018-03-07,3.08767
2018-03-08,2.72356
2018-03-09,3.00029
2018-03-10,2.11185
2018-03-11,2.33032
2018-03-12,3.17506
2018-03-13,3.80133
2018-03-14,3.07311
2018-03-15,3.32071
2018-03-16,3.08767
2018-03-17,1.86425
2018-03-18,2.31575
2018-03-19,3.18963
2018-03-20,3.55374
2018-03-21,3.08767
2018-03-22,3.24788
2018-03-23,2.82551
2018-03-24,1.60209
2018-03-25,1.67491
2018-03-26,2.54879
2018-03-27,3.02942
2018-03-28,3.14593
2018-03-29,3.17506
2018-03-30,3.53917
2018-03-31,1.89338
2018-04-01,1.60209
2018-04-02,3.18963
2018-04-03,3.26245
2018-04-04,3.48092
2018-04-05,3.75764
2018-04-06,4.42761
2018-04-07,2.82551
2018-04-08,2.98572
2018-04-09,4.07806
2018-04-10,4.31109
2018-04-11,4.13632
2018-04-12,4.23827
2018-04-13,4.70434
2018-04-14,2.65074
2018-04-15,2.65074
2018-04-16,4.19458
2018-04-17,4.80629
2018-04-18,4.64608
2018-04-19,6.21905
2018-04-20,5.49082
2018-04-21,2.33032
2018-04-22,2.51966
2018-04-23,4.19458
2018-04-24,5.50538
2018-04-25,3.96154
2018-04-26,3.85959
2018-04-27,3.33527
2018-04-28,3.14593
2018-04-29,3.14593
2018-04-30,3.58287
2018-05-01,3.02942
2018-05-02,3.96154
2018-05-03,4.29653
2018-05-04,3.64113
2018-05-05,2.47596
2018-05-06,2.43227
2018-05-07,2.2138
2018-05-08,3.10224
2018-05-09,3.23332
2018-05-10,3.69938
2018-05-11,3.3644
2018-05-12,6.75793
2018-05-13,2.30119
2018-05-14,4.03437
2018-05-15,3.34983
2018-05-16,4.20914
2018-05-17,4.03437
2018-05-18,4.28196
2018-05-19,2.17011
2018-05-20,2.08272
2018-05-21,4.50043
2018-05-22,2.69443
2018-05-23,4.03437
2018-05-24,3.52461
2018-05-25,3.37896
2018-05-26,2.34488
2018-05-27,2.12642
2018-05-28,3.64113
2018-05-29,3.88872
2018-05-30,3.612
2018-05-31,3.80133
2018-06-01,2.98572
2018-06-02,1.87882
2018-06-03,2.14098
2018-06-04,3.85959
2018-06-05,3.53917
2018-06-06,2.6653
2018-06-07,3.39353
2018-06-08,3.51004
2018-06-09,1.66035
2018-06-10,2.14098
2018-06-11,3.48092
2018-06-12,3.91785
2018-06-13,2.51966
2018-06-14,3.30614
2018-06-15,2.98572
2018-06-16,1.7623
2018-06-17,2.05359
2018-06-18,2.88377
2018-06-19,3.88872
2018-06-20,3.40809
2018-06-21,3.77221
2018-06-22,3.20419
2018-06-23,2.08272
2018-06-24,1.90795
2018-06-25,3.88872
2018-06-26,4.76259
2018-06-27,4.42761
2018-06-28,3.24788
2018-06-29,3.08767
2018-06-30,2.08272
2018-07-01,2.41771
2018-07-02,3.52461
2018-07-03,4.03437
2018-07-04,3.84503
2018-07-05,3.05854
2018-07-06,3.05854
2018-07-07,1.96621
2018-07-08,1.58753
2018-07-09,3.10224
2018-07-10,3.14593
2018-07-11,3.51004
2018-07-12,3.17506
2018-07-13,3.1168
2018-07-14,1.7623
2018-07-15,2.22837
2018-07-16,3.42266
2018-07-17,3.51004
2018-07-18,3.18963
2018-07-19,4.7189
2018-07-20,3.96154
2018-07-21,1.806
2018-07-22,2.12642
2018-07-23,3.48092
2018-07-24,4.03437
2018-07-25,3.87416
2018-07-26,4.42761
2018-07-27,3.85959
2018-07-28,1.806
2018-07-29,1.96621
2018-07-30,3.62656
2018-07-31,4.36935
2018-08-01,3.3644
2018-08-02,3.5683
2018-08-03,3.46635
2018-08-04,1.95164
2018-08-05,1.86425
2018-08-06,3.13137
2018-08-07,3.94698
2018-08-08,4.07806
2018-08-09,4.60238
2018-08-10,3.45179
2018-08-11,2.33032
2018-08-12,2.94203
2018-08-13,3.68482
2018-08-14,3.37896
2018-08-15,2.51966
2018-08-16,3.71395
2018-08-17,3.17506
2018-08-18,3.01485
2018-08-19,2.67987
2018-08-20,4.95193
2018-08-21,4.66064
2018-08-22,4.73346
2018-08-23,4.23827
2018-08-24,3.80133
2018-08-25,2.94203
2018-08-26,2.40314
2018-08-27,3.67025
2018-08-28,4.77716
2018-08-29,4.54413
2018-08-30,4.41304
2018-08-31,4.03437
2018-09-01,2.15554
2018-09-02,2.57792
2018-09-03,4.25284
2018-09-04,4.90824
2018-09-05,4.10719
2018-09-06,4.28196
2018-09-07,4.515
2018-09-08,2.08272
2018-09-09,2.43227
2018-09-10,4.36935
2018-09-11,5.94232
2018-09-12,5.89863
2018-09-13,7.31138
2018-09-14,6.30643
2018-09-15,3.33527
2018-09-16,4.77716
2018-09-17,6.0734
2018-09-18,5.84037
2018-09-19,5.63646
2018-09-20,7.23856
2018-09-21,7.58811
2018-09-22,3.14593
2018-09-23,2.84008
2018-09-24,2.40314
2018-09-25,3.85959
2018-09-26,4.86454
2018-09-27,7.92309
2018-09-28,6.61229
2018-09-29,4.18001
2018-09-30,4.38392
2018-10-01,6.48121
2018-10-02,6.04427
2018-10-03,3.34983
2018-10-04,5.33061
2018-10-05,6.02971
2018-10-06,3.62656
2018-10-07,3.20419
2018-10-08,5.05388
2018-10-09,4.0635
2018-10-10,6.74337
2018-10-11,7.98135
2018-10-12,7.25313
2018-10-13,4.20914
2018-10-14,4.28196
2018-10-15,6.2773
2018-10-16,7.23856
2018-10-17,6.81619
2018-10-18,5.59277
2018-10-19,7.71919
2018-10-20,3.62656
2018-10-21,4.29653
2018-10-22,11.37489
2018-10-23,8.24351
2018-10-24,8.19982
2018-10-25,13.19545
2018-10-26,10.73405
2018-10-27,5.34517
2018-10-28,5.22866
2018-10-29,11.24381
2018-10-30,10.41363
2018-10-31,12.16137
2018-11-01,9.77279
2018-11-02,6.9764
2018-11-03,4.03437
2018-11-04,5.49082
2018-11-05,7.4279
2018-11-06,7.70463
2018-11-07,6.80163
2018-11-08,7.4279
2018-11-09,7.23856
2018-11-10,3.8159
2018-11-11,3.97611
2018-11-12,7.70463
2018-11-13,6.74337
2018-11-14,6.42295
2018-11-15,6.55403
2018-11-16,7.29682
2018-11-17,4.9228
2018-11-18,3.84503
2018-11-19,7.44247
2018-11-20,8.27264
2018-11-21,7.1803
2018-11-22,8.09787
2018-11-23,6.56859
2018-11-24,3.10224
2018-11-25,3.43722
2018-11-26,7.25313
2018-11-27,8.65132
2018-11-28,8.22895
2018-11-29,8.40372
2018-11-30,7.86484
2018-12-01,5.81124
2018-12-02,4.90824
2018-12-03,9.27759
2018-12-04,8.72414
2018-12-05,7.32595
2018-12-06,7.41334
2018-12-07,7.58811
2018-12-08,4.25284
2018-12-09,4.15088
2018-12-10,8.5348
2018-12-11,8.09787
2018-12-12,8.37459
2018-12-13,10.10777
2018-12-14,7.76288
2018-12-15,3.99067
2018-12-16,3.69938
2018-12-17,7.93766
2018-12-18,10.47189
2018-12-19,10.32624
2018-12-20,10.26798
2018-12-21,11.92834
2018-12-22,6.02971
2018-12-23,6.87445
2018-12-24,17.02592
2018-12-25,10.92339
2018-12-26,27.39586
2018-12-27,13.16632
2018-12-28,6.36469
2018-12-29,2.51966
2018-12-30,2.60704
2018-12-31,2.89833
2019-01-01,2.44683
2019-01-02,3.71395
2019-01-03,3.29158
2019-01-04,3.21875
2019-01-05,2.02446
2019-01-06,2.34488
2019-01-07,3.23332
2019-01-08,3.01485
2019-01-09,3.45179
2019-01-10,21.70113
2019-01-11,19.26886
2019-01-12,30.81852
2019-01-13,9.19021
2019-01-14,3.84503
2019-01-15,3.90329
2019-01-16,4.25284
2019-01-17,4.10719
2019-01-18,2.65074
2019-01-19,2.67987
2019-01-20,2.86921
2019-01-21,3.53917
2019-01-22,4.74803
2019-01-23,4.58782
2019-01-24,5.47625
2019-01-25,4.67521
2019-01-26,3.46635
2019-01-27,3.27701
2019-01-28,4.73346
2019-01-29,4.48587
2019-01-30,5.31605
2019-01-31,6.9764
2019-02-01,4.73346
2019-02-02,4.09263
2019-02-03,2.94203
2019-02-04,3.17506
2019-02-05,2.79638
2019-02-06,3.67025
2019-02-07,6.7288
2019-02-08,6.88901
2019-02-09,3.96154
2019-02-10,4.68977
2019-02-11,6.20448
