Date,installment_interest_rate
2018-02-26,2.60696
2018-02-27,2.60439
2018-02-28,2.46492
2018-03-01,1.99957
2018-03-02,2.40257
2018-03-03,1.36261
2018-03-04,1.61521
2018-03-05,2.45849
2018-03-06,2.14033
2018-03-07,2.02592
2018-03-08,1.97965
2018-03-09,2.0105
2018-03-10,1.23278
2018-03-11,1.63514
2018-03-12,2.67124
2018-03-13,2.30552
2018-03-14,1.98993
2018-03-15,2.11012
2018-03-16,1.96679
2018-03-17,1.33883
2018-03-18,1.48088
2018-03-19,2.21875
2018-03-20,2.14162
2018-03-21,2.29588
2018-03-22,2.48741
2018-03-23,2.36593
2018-03-24,1.37225
2018-03-25,1.79582
2018-03-26,2.92191
2018-03-27,2.39936
2018-03-28,2.14612
2018-03-29,2.00536
2018-03-30,1.84981
2018-03-31,1.23406
2018-04-01,1.5008
2018-04-02,2.29073
2018-04-03,1.997
2018-04-04,1.96551
2018-04-05,2.0857
2018-04-06,1.78875
2018-04-07,1.03995
2018-04-08,1.32148
2018-04-09,2.05742
2018-04-10,2.15511
2018-04-11,2.02014
2018-04-12,1.84017
2018-04-13,1.56829
2018-04-14,1.12608
2018-04-15,1.23535
2018-04-16,2.06513
2018-04-17,2.0587
2018-04-18,1.81189
2018-04-19,1.75854
2018-04-20,1.65635
2018-04-21,1.02903
2018-04-22,1.24949
2018-04-23,1.93337
2018-04-24,1.93015
2018-04-25,2.12426
2018-04-26,1.84146
2018-04-27,1.47959
2018-04-28,0.92683
2018-04-29,1.11901
2018-04-30,2.02849
2018-05-01,1.58436
2018-05-02,1.82924
2018-05-03,1.7624
2018-05-04,1.52137
2018-05-05,0.88891
2018-05-06,0.97568
2018-05-07,1.38704
2018-05-08,2.0947
2018-05-09,1.79454
2018-05-10,1.94815
2018-05-11,1.61071
2018-05-12,0.99753
2018-05-13,1.04253
2018-05-14,1.77975
2018-05-15,1.8376
2018-05-16,1.57343
2018-05-17,1.40246
2018-05-18,1.48666
2018-05-19,0.94354
2018-05-20,1.1203
2018-05-21,1.96936
2018-05-22,1.30348
2018-05-23,1.86138
2018-05-24,1.77718
2018-05-25,1.79711
2018-05-26,1.12094
2018-05-27,1.29127
2018-05-28,2.02335
2018-05-29,1.95844
2018-05-30,1.76818
2018-05-31,1.88902
2018-06-01,1.67113
2018-06-02,1.05474
2018-06-03,1.15436
2018-06-04,1.89352
2018-06-05,1.72448
2018-06-06,1.16722
2018-06-07,1.69877
2018-06-08,1.58179
2018-06-09,0.92555
2018-06-10,1.21671
2018-06-11,1.89609
2018-06-12,1.55158
2018-06-13,1.12158
2018-06-14,1.84081
2018-06-15,1.65313
2018-06-16,1.01746
2018-06-17,1.26813
2018-06-18,1.93915
2018-06-19,2.10177
2018-06-20,2.04456
2018-06-21,1.98479
2018-06-22,1.64156
2018-06-23,0.96604
2018-06-24,1.12801
2018-06-25,2.29845
2018-06-26,1.95651
2018-06-27,2.01628
2018-06-28,1.8196
2018-06-29,1.68206
2018-06-30,1.21799
2018-07-01,1.35361
2018-07-02,1.94429
2018-07-03,1.86395
2018-07-04,1.72448
2018-07-05,1.81832
2018-07-06,1.86331
2018-07-07,1.0001
2018-07-08,1.1068
2018-07-09,1.78747
2018-07-10,2.04328
2018-07-11,1.78425
2018-07-12,1.63385
2018-07-13,1.51301
2018-07-14,0.9384
2018-07-15,1.12094
2018-07-16,1.65699
2018-07-17,1.64156
2018-07-18,1.63706
2018-07-19,1.48923
2018-07-20,1.50402
2018-07-21,0.91462
2018-07-22,1.01103
2018-07-23,1.58886
2018-07-24,1.67306
2018-07-25,2.05806
2018-07-26,1.76561
2018-07-27,1.51494
2018-07-28,0.92298
2018-07-29,1.08238
2018-07-30,1.9835
2018-07-31,2.17311
2018-08-01,1.83374
2018-08-02,1.65699
2018-08-03,1.57793
2018-08-04,0.96668
2018-08-05,1.06759
2018-08-06,1.88195
2018-08-07,1.99893
2018-08-08,1.96872
2018-08-09,1.63256
2018-08-10,1.79454
2018-08-11,1.11001
2018-08-12,1.18136
2018-08-13,1.99636
2018-08-14,1.82153
2018-08-15,1.38961
2018-08-16,1.98864
2018-08-17,1.80225
2018-08-18,1.06309
2018-08-19,1.19935
2018-08-20,2.07413
2018-08-21,1.96486
2018-08-22,1.86267
2018-08-23,1.75083
2018-08-24,1.8903
2018-08-25,1.1775
2018-08-26,1.35811
2018-08-27,1.99829
2018-08-28,2.28109
2018-08-29,1.92501
2018-08-30,1.75726
2018-08-31,1.6782
2018-09-01,1.01874
2018-09-02,1.26042
2018-09-03,2.03235
2018-09-04,1.89352
2018-09-05,1.91601
2018-09-06,1.77847
2018-09-07,1.49566
2018-09-08,0.89855
2018-09-09,1.17043
2018-09-10,2.12426
2018-09-11,1.99186
2018-09-12,1.75083
2018-09-13,1.77332
2018-09-14,1.70327
2018-09-15,1.09459
2018-09-16,1.26813
2018-09-17,2.06127
2018-09-18,1.88259
2018-09-19,1.84467
2018-09-20,1.85367
2018-09-21,1.96551
2018-09-22,1.11001
2018-09-23,1.02967
2018-09-24,1.09266
2018-09-25,1.21157
2018-09-26,1.64349
2018-09-27,3.16744
2018-09-28,2.69631
2018-09-29,1.4963
2018-09-30,1.78168
2018-10-01,2.66031
2018-10-02,2.11912
2018-10-03,1.63835
2018-10-04,2.25153
2018-10-05,2.10562
2018-10-06,1.38511
2018-10-07,1.60428
2018-10-08,2.3428
2018-10-09,1.63642
2018-10-10,2.60889
2018-10-11,2.3023
2018-10-12,1.85303
2018-10-13,1.18072
2018-10-14,1.40375
2018-10-15,2.39036
2018-10-16,2.26631
2018-10-17,2.21939
2018-10-18,2.20268
2018-10-19,1.93915
2018-10-20,1.17365
2018-10-21,1.35747
2018-10-22,2.44949
2018-10-23,2.08056
2018-10-24,2.33573
2018-10-25,2.6481
2018-10-26,2.15383
2018-10-27,1.27648
2018-10-28,1.49695
2018-10-29,2.37365
2018-10-30,2.41543
2018-10-31,2.33444
2018-11-01,2.22967
2018-11-02,1.97643
2018-11-03,1.17686
2018-11-04,1.37804
2018-11-05,2.2933
2018-11-06,2.22646
2018-11-07,2.01821
2018-11-08,1.91537
2018-11-09,1.82217
2018-11-10,1.23342
2018-11-11,1.43139
2018-11-12,2.25538
2018-11-13,2.10948
2018-11-14,2.07027
2018-11-15,2.05035
2018-11-16,2.00985
2018-11-17,1.19678
2018-11-18,1.51109
2018-11-19,2.26502
2018-11-20,2.36915
2018-11-21,2.30937
2018-11-22,2.17825
2018-11-23,2.2226
2018-11-24,1.41853
2018-11-25,1.69362
2018-11-26,2.57161
2018-11-27,2.43856
2018-11-28,2.37558
2018-11-29,2.43728
2018-11-30,4.19133
2018-12-01,2.53755
2018-12-02,2.44499
2018-12-03,3.97408
2018-12-04,3.66685
2018-12-05,3.52416
2018-12-06,2.99839
2018-12-07,2.61789
2018-12-08,1.6827
2018-12-09,1.89545
2018-12-10,3.22528
2018-12-11,3.06395
2018-12-12,2.86406
2018-12-13,2.51762
2018-12-14,2.35244
2018-12-15,1.63256
2018-12-16,2.06127
2018-12-17,3.25164
2018-12-18,2.74515
2018-12-19,2.60568
2018-12-20,2.69181
2018-12-21,2.42828
2018-12-22,1.60364
2018-12-23,7.00333
2018-12-24,4.45807
2018-12-25,3.58651
2018-12-26,5.04425
2018-12-27,4.02421
2018-12-28,3.47145
2018-12-29,2.24253
2018-12-30,2.59154
2018-12-31,3.50745
2019-01-01,3.28442
2019-01-02,4.44457
2019-01-03,3.98051
2019-01-04,3.88538
2019-01-05,2.32287
